Term,Sect
Accounting & Legal,Accounting & Legal
Aerospace & Defense,Aerospace and Defense
Aerospace and Defense,Aerospace and Defense
Agriculture & Forestry,Agriculture & Forestry
Agriculture and Extraction,Agriculture & Forestry
"Arts, Entertainment & Recreation","Arts, Entertainment & Recreation"
Auto,Auto
Banks and Financial Services,Banks and Financial Services
Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Business Services,Business Services
Computers and Electronics,Computers and Electronics
Construction,"Construction, Repair & Maintenance"
"Construction, Repair & Maintenance","Construction, Repair & Maintenance"
Consulting and Business Services,Consulting and Business Services
Consumer Goods and Services,Consumer Goods and Services
Consumer Services,Consumer Goods and Services
Education,Education and Schools
Education and Schools,Education and Schools
Energy and Utilities,Energy and Utilities
Finance,Banks and Financial Services
Food and Beverages,Food and Beverages
Food and BeveragesConsulting and Business Services,Food and Beverages
Government,Government
Health Care,Health Care
Human Resources and Staffing,Human Resources and Staffing
Industrial Manufacturing,Industrial Manufacturing
Industrial ManufacturingAgriculture and Extraction,Industrial Manufacturing
Industrial ManufacturingConstruction,Industrial Manufacturing
Industrial ManufacturingConsumer Goods and Services,Industrial Manufacturing
Information Technology,Information Technology
Insurance,Insurance
InsuranceHealth Care,Insurance
Internet and Software,Telecommunications
Manufacturing,Industrial Manufacturing
Media,Media
"Media, News and Publishing",Media
Mining & Metals,Mining & Metals
Non-Profit,Non-Profit
"Oil, Gas, Energy & Utilities","Oil, Gas, Energy & Utilities"
Organization,Others
Others,Others
Pharmaceuticals,Pharmaceuticals
Real Estate,Real Estate
Real EstateReal Estate,Real Estate
"Restaurants, Bars & Food Services","Restaurants, Bars & Food Services"
"Restaurants, Travel and Leisure","Restaurants, Bars & Food Services"
"Restaurants, Travel and LeisureConsulting and Business Services","Restaurants, Bars & Food Services"
Retail,Retail
RetailConsumer Goods and Services,Retail
Telecommunications,Telecommunications
Transport and Freight,Transportation & Logistics
Transportation & Logistics,Transportation & Logistics
Travel & Tourism,Travel & Tourism
,
,
