Location,Region
AL,Central
AK,West
AZ,Mountain
AR,Midwest
CA,West
CO,Mountain
CT,North East
DE,North East
DC,North East
FL,South East
GA,South East
HI,West
ID,Mountain
IL,Central
IN,Central
IA,Central
KS,Midwest
KY,South East
LA,Midwest
ME,North East
MT,Mountain
NE,Midwest
NV,Mountain
NH,North East
NJ,South East
NM,Mountain
NY,North East
NC,South East
ND,Midwest
OH,Central
OK,Midwest
OR,West
MD,North East
MA,North East
MI,Central
MN,Central
MS,Central
MO,Midwest
PA,North East
RI,North East
SC,South East
SD,Midwest
TN,South East
TX,Midwest
UT,Mountain
VT,North East
VA,South East
WA,West
WV,South East
WI,Central
WY,Midwest
